,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
32,33,Whitley,04/01/1987,Brazil,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Puma,Brown
33,34,Wendy,16/08/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Vans,Brown
34,35,Winifred,02/09/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
35,36,Whitley,10/05/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Puma,Brown
36,37,Walter,04/09/1987,Brazil,Bobble hat,Barts,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
37,38,Whitley,02/07/1987,France,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
38,39,Wanda,22/04/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
39,40,Wanda,02/08/1987,Germany,Bobble hat,Canada Goose,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Converse,Brown
40,41,Whitley,21/03/1987,Canada,Bobble hat,Canada Goose,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
41,42,Winona,19/04/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
42,43,Wallace,02/08/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
43,44,Wanda,10/06/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
44,45,Winifred,13/04/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Vans,Brown
45,46,Whitley,08/09/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
46,47,Whitley,24/11/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Jordan,Brown
47,48,Winona,23/05/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
48,49,Wendy,02/07/1987,Japan,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
49,50,Winifred,29/05/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
50,51,Whitley,14/02/1987,Australia,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Adidas,Brown
51,52,Wanda,30/08/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
52,53,Wendy,17/12/1987,United Kingdom,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
53,54,Whitney,04/01/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
54,55,Wendy,05/05/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Vans,Brown
55,56,Wanda,28/12/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
56,57,Wayne,18/08/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
57,58,Wesley,15/06/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Vans,Brown
58,59,Winifred,17/05/1987,Germany,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
59,60,Wallace,27/10/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
60,61,Wanda,08/09/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
61,62,Wilhelm,14/09/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Nike,Brown
62,63,Weston,11/12/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Versace,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Vans,Brown
63,64,Wanda,28/03/1987,Canada,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
64,65,Winston,29/06/1987,United Kingdom,Bobble hat,Beanie Babies,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Reebok,Brown
65,66,Wallace,19/03/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
66,67,Winona,21/06/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Puma,Brown
67,68,Whitley,26/12/1987,Brazil,Bobble hat,The North Face,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
68,69,Winston,14/05/1987,Canada,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
69,70,Wyatt,27/12/1987,United States,Bobble hat,Patagonia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Fendi,Brown,Wood,Casual Shoes,Under Armour,Brown
70,71,Wayne,11/10/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Vans,Brown
71,72,Wesley,18/03/1987,Canada,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
72,73,Wanda,25/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
73,74,Winona,27/12/1987,Canada,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Adidas,Brown
74,75,Wallace,31/01/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Vans,Brown
75,76,Wanda,04/02/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
76,77,Wade,06/01/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
77,78,Wallace,23/11/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
78,79,Winona,17/08/1987,Australia,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Jordan,Brown
79,80,Winifred,01/10/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
80,81,Whitley,16/07/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Reebok,Brown
81,82,Winona,25/01/1987,Australia,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
82,83,Wesley,15/09/1987,China,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
83,84,Wallace,12/08/1987,France,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Vans,Brown
84,85,Wyatt,29/06/1987,Brazil,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,New Balance,Brown
85,86,Winona,28/10/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
86,87,Winifred,09/01/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Nike,Brown
87,88,Whitley,30/10/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,New Balance,Brown
88,89,Winona,06/11/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Vans,Brown
89,90,Wilhelm,09/09/1987,China,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
90,91,Walter,25/02/1987,Brazil,Bobble hat,UGG,Red and white,Round Glasses,Prada,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Adidas,Brown
91,92,Winifred,12/10/1987,United States,Bobble hat,Fjällräven,Red and white,Round Glasses,Prada,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Adidas,Brown
92,93,Winifred,23/12/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Vans,Brown
93,94,Wanda,28/05/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Under Armour,Brown
94,95,Whitley,27/03/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
95,96,Walter,23/01/1987,Canada,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
96,97,Walker,30/12/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
97,98,Winona,17/10/1987,Brazil,Bobble hat,Fjällräven,Red and white,Round Glasses,Oakley,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
98,99,Wanda,11/08/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
99,100,Wade,26/03/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
